method,gender,subject,dist_mean_mm,dist_Femur_mm,dist_Pelvis_mm,dist_Humerus_mm,dist_Radius-Ulna_mm,dist_Tibia-Fibula_mm
SKEL,female,PREG_3304_CK,11.3911,10.4070,17.0179,7.4980,6.8251,15.2075
SKEL,female,PREG_3897_HP,10.5039,9.5535,14.2622,10.4620,8.5365,9.7053
SKEL,female,PREG_4108_IH,7.1737,8.4062,8.9985,5.8946,5.2521,7.3169
SKEL,female,RS050248_,12.2501,17.5769,8.7117,14.1632,10.6803,10.1183
SKEL,female,TULIP_1560_EM,7.1402,6.3829,7.3881,6.7799,8.1666,6.9833
SKEL,female,VS114_,13.2898,14.2293,8.3708,14.5294,13.1691,16.1505
SKEL,female,YB915,9.0102,9.4890,7.0239,10.7045,10.0864,7.7471
SKEL-J,female,CR260152,8.9888,10.5740,10.0672,7.1005,7.8710,9.3313
SKEL-J,female,EZ1466,6.8307,7.8607,7.1601,4.4793,6.2944,8.3589
SKEL-J,female,GKF_EFneu_,7.5892,12.0592,5.6681,6.1095,5.4753,8.6341
SKEL-J,female,JKneu_,9.1351,9.2004,9.6468,7.5964,8.4887,10.7433
SKEL-J,female,MR573,9.2776,13.6313,8.8850,7.2350,7.1221,9.5146
SKEL-J,female,NASI_3277_MD,8.1996,8.7914,10.4300,8.9283,6.0396,6.8084
SKEL-J,female,NASI_3343_SZ,6.7721,7.9873,7.9543,5.3208,6.8477,5.7502
SKEL-J,female,NASI_3345_JZ,10.3562,9.1190,13.9746,13.1298,7.3067,8.2507
SKEL-J,female,NRE_3217_VM,8.3062,13.6556,6.0086,5.9112,6.4805,9.4749
SKEL-J,female,PLIS_3074_AL,9.0466,12.5255,7.4554,9.0862,6.0202,10.1457
SKEL-J,female,PLIS_3867_IB,8.2463,10.1594,7.3423,6.5546,7.2428,9.9321
SKEL-J,female,PLIS_4042_HK,8.1174,9.8436,7.0488,6.7333,8.3954,8.5659
SKEL-J,female,PLIS_4071_AO,7.9976,8.8384,8.3608,7.2260,6.6206,8.9420
SKEL-J,female,PREG_2964_AH,6.8574,6.8333,7.1655,7.6070,4.9216,7.7596
SKEL-J,female,PREG_3184_MW,9.9992,8.2026,17.6557,8.9379,7.8180,7.3819
SKEL-J,female,PREG_3304_CK,10.8148,9.7611,17.0342,6.7948,5.4223,15.0618
SKEL-J,female,PREG_3897_HP,10.1073,9.2127,14.4747,9.5099,7.2145,10.1248
SKEL-J,female,PREG_4108_IH,6.5982,7.7853,8.8152,5.0700,4.2015,7.1191
SKEL-J,female,RS050248_,9.9388,15.6376,7.4859,10.7054,6.8676,8.9973
SKEL-J,female,TULIP_1560_EM,6.9404,6.6881,5.9624,7.8137,7.0760,7.1617
SKEL-J,female,VS114_,12.9479,13.3788,8.0062,14.7576,12.4980,16.0991
SKEL-J,female,YB915,8.3712,8.8643,6.0391,10.5510,8.6851,7.7162
