method,gender,subject,dist_mean_mm,dist_Femur_mm,dist_Pelvis_mm,dist_Humerus_mm,dist_Radius-Ulna_mm,dist_Tibia-Fibula_mm
OSSO,male,MS695,14.2706,16.8866,19.8133,10.3864,12.2745,11.9922
OSSO,male,NASI_3394_JW,11.6498,14.6571,14.3557,12.0109,8.7113,8.5139
OSSO,male,NASI_3421_MK,9.5400,8.7385,11.1826,10.9794,10.1830,6.6166
OSSO,male,NRE_3474_ED,12.1335,13.9016,12.0126,12.5250,13.6483,8.5800
OSSO,male,NUP_2590_SB,11.3840,17.0272,12.2898,7.6425,9.2458,10.7148
OSSO,male,PLIS_3877_KR,9.1954,10.5014,10.0653,8.5175,10.3310,6.5619
OSSO,male,RA050343,10.5407,10.1411,12.2668,9.9719,10.9340,9.3896
OSSO,male,RES_3119_RF,10.0040,12.3237,12.9658,7.3445,10.5905,6.7953
OSSO,male,TA1329,13.1450,16.9002,12.2956,12.4738,14.5561,9.4994
OSSO,male,TULIP002_1585_MS,8.4579,8.2755,8.5605,9.7940,10.3219,5.3375
OSSO,male,TULIP00_1547_WS,13.5058,14.1831,18.2236,16.8104,9.5605,8.7514
OSSO,male,TULIP00_1812_SS,11.1481,10.5195,11.5081,14.4878,10.0530,9.1722
SKEL,female,CR260152,9.8242,11.7844,11.9919,8.1962,7.4363,9.7125
SKEL,female,EZ1466,7.7785,8.2032,9.1527,5.2575,8.2322,8.0466
SKEL,female,GKF_EFneu_,8.3355,12.8860,6.0037,7.3437,6.3879,9.0559
SKEL,female,JKneu_,9.9633,9.5649,10.7465,8.7101,10.1808,10.6141
SKEL,female,MR573,10.2087,15.0787,10.1086,7.8647,7.8246,10.1670
SKEL,female,NASI_3277_MD,8.7795,9.5249,10.9567,9.6721,6.9649,6.7792
SKEL,female,NASI_3343_SZ,7.5566,8.4126,7.6686,6.9052,8.6569,6.1396
SKEL,female,NASI_3345_JZ,11.4064,9.4675,14.5753,14.5578,10.2407,8.1907
SKEL,female,NRE_3217_VM,8.5026,14.0669,5.9290,6.4331,5.9574,10.1263
SKEL,female,PLIS_3074_AL,9.5364,13.1609,8.3670,9.7035,6.1436,10.3068
SKEL,female,PLIS_3867_IB,8.2544,10.8319,6.7020,6.2238,7.2027,10.3116
SKEL,female,PLIS_4042_HK,8.5187,10.5416,7.7111,7.2957,8.0174,9.0277
SKEL,female,PLIS_4071_AO,8.2343,9.6747,10.0804,6.7274,5.6284,9.0604
SKEL,female,PREG_2964_AH,7.3089,6.9952,7.0200,8.3926,7.1359,7.0007
SKEL,female,PREG_3184_MW,10.7302,8.5237,18.3317,10.4420,8.9769,7.3765
SKEL,female,PREG_3304_CK,11.3973,10.4266,17.0037,7.4978,6.8280,15.2302
SKEL,female,PREG_3897_HP,10.5125,9.5339,14.2925,10.4822,8.5241,9.7298
SKEL,female,PREG_4108_IH,7.1810,8.4206,8.9869,5.9662,5.2507,7.2807
SKEL,female,RS050248_,12.2627,17.5874,8.7561,14.1785,10.6816,10.1099
SKEL,female,TULIP_1560_EM,7.1388,6.4017,7.3514,6.7733,8.1662,7.0013
SKEL,female,VS114_,13.2985,14.2384,8.4224,14.5316,13.1674,16.1326
SKEL,female,YB915,9.0113,9.4538,6.9998,10.7007,10.1319,7.7704
SKEL,male,GKF_TSneu_,10.1581,7.0786,12.6058,13.3105,10.2345,7.5609
SKEL,male,GS300553,8.8726,8.2329,9.9540,7.9520,9.2638,8.9601
SKEL,male,MS695,10.3633,10.9473,11.7208,8.1377,8.6102,12.4007
SKEL,male,NASI_3394_JW,11.7029,12.3748,13.0628,12.2951,10.2611,10.5210
SKEL,male,NASI_3421_MK,8.5490,7.3790,10.3014,9.6965,8.3697,6.9987
SKEL,male,NRE_3474_ED,9.2702,9.8381,11.5445,8.3366,7.7846,8.8473
SKEL,male,NUP_2590_SB,10.9296,12.1377,18.5417,7.0567,5.4554,11.4565
SKEL,male,PLIS_3877_KR,8.9187,9.2925,13.8499,7.8478,6.2939,7.3097
SKEL,male,RA050343,9.9479,8.8089,11.0967,10.3689,9.7615,9.7034
SKEL,male,RES_3119_RF,9.5226,9.0166,11.4644,9.2548,8.9540,8.9235
SKEL,male,TA1329,11.7072,17.3097,15.0683,9.1329,7.6104,9.4149
SKEL,male,TULIP002_1585_MS,8.2598,7.5306,10.1894,8.5483,9.4844,5.5462
SKEL,male,TULIP00_1547_WS,12.8627,9.6664,13.3403,17.0964,13.6428,10.5678
SKEL,male,TULIP00_1812_SS,11.4122,9.4570,9.9332,13.8242,13.1444,10.7021
SKEL-J,female,CR260152,8.9865,10.5580,10.0533,7.1324,7.8288,9.3600
SKEL-J,female,EZ1466,6.8126,7.8488,7.1641,4.4681,6.2612,8.3209
SKEL-J,female,GKF_EFneu_,7.5944,12.0364,5.6565,6.1319,5.5076,8.6396
SKEL-J,female,JKneu_,9.1068,9.1657,9.6174,7.5490,8.4442,10.7576
SKEL-J,female,MR573,9.2914,13.6697,8.8917,7.2558,7.1618,9.4780
SKEL-J,female,NASI_3277_MD,8.2154,8.8104,10.4845,8.9279,6.0420,6.8123
SKEL-J,female,NASI_3343_SZ,6.7754,8.0060,7.9516,5.2895,6.8711,5.7587
SKEL-J,female,NASI_3345_JZ,10.3552,9.1392,13.9622,13.1399,7.3113,8.2233
SKEL-J,female,NRE_3217_VM,8.2980,13.6737,5.9978,5.8694,6.4623,9.4869
SKEL-J,female,PLIS_3074_AL,9.0438,12.5459,7.4449,9.0754,6.0057,10.1469
SKEL-J,female,PLIS_3867_IB,8.2601,10.1406,7.3481,6.6081,7.2674,9.9364
SKEL-J,female,PLIS_4042_HK,8.1118,9.8394,7.0384,6.7114,8.3754,8.5946
SKEL-J,female,PLIS_4071_AO,7.9850,8.8634,8.3677,7.1802,6.6062,8.9077
SKEL-J,female,PREG_2964_AH,6.8588,6.8008,7.2004,7.6055,4.9131,7.7739
